2026-04-14 11:57:35 | Info     | server.py:541             |  =========================================== 
2026-04-14 11:57:35 | Info     | server.py:542             |  === weBIGeo Cloud Server v1.2.1 started === 
2026-04-14 11:57:35 | Info     | server.py:543             |  =========================================== 
2026-04-14 11:57:35 | Info     | server.py:516             | Scheduler: running maintenance
2026-04-14 11:57:35 | Info     | server.py:555             | Starting waitress server on http://127.0.0.1:8000
2026-04-14 11:57:35 | Debug    | server.py:496             | Purge: 2026041312_000 (invalid/incomplete)
2026-04-14 11:57:35 | Debug    | server.py:496             | Purge: 2026041318_000 (invalid/incomplete)
2026-04-14 11:57:35 | Debug    | server.py:496             | Purge: 2026041400_000 (invalid/incomplete)
2026-04-14 11:57:35 | Info     | server.py:512             | Purge: removed 3 tile set(s)
2026-04-15 17:50:20 | Info     | server.py:609             |  =========================================== 
2026-04-15 17:50:20 | Info     | server.py:610             |  === weBIGeo Cloud Server v1.2.1 started === 
2026-04-15 17:50:20 | Info     | server.py:611             |  =========================================== 
2026-04-15 17:50:20 | Info     | server.py:565             | Scheduler: running maintenance
2026-04-15 17:50:20 | Info     | server.py:623             | Starting waitress server on http://127.0.0.1:8000
2026-04-15 17:50:20 | Debug    | server.py:529             | Purge: 2026040718_000 (hour 18 not in retention policy hours [12])
2026-04-15 17:50:20 | Debug    | server.py:529             | Purge: 2026040721_000 (hour 21 not in retention policy hours [12])
2026-04-15 17:50:20 | Info     | server.py:533             | Purge: removed 2 tile set(s)
2026-04-15 17:52:18 | Info     | server.py:609             |  =========================================== 
2026-04-15 17:52:18 | Info     | server.py:610             |  === weBIGeo Cloud Server v1.2.1 started === 
2026-04-15 17:52:18 | Info     | server.py:611             |  =========================================== 
2026-04-15 17:52:18 | Info     | server.py:565             | Scheduler: running maintenance
2026-04-15 17:52:18 | Info     | server.py:623             | Starting waitress server on http://127.0.0.1:8000
2026-04-15 17:52:18 | Info     | server.py:533             | Purge: removed 0 tile set(s)
2026-04-15 17:52:18 | Info     | server.py:494             | AutoBuild done: 0 added
2026-04-15 17:52:18 | Info     | server.py:584             | Maintenance completed in 0.0min:
 - 0 added (none)
 - 0 purged (none)
 - 0 renewed (none)
2026-04-15 17:52:18 | Info     | server.py:598             | Scheduler: next maintenance at 2026-04-15 16:30 UTC
2026-04-15 17:53:18 | Info     | server.py:609             |  =========================================== 
2026-04-15 17:53:18 | Info     | server.py:610             |  === weBIGeo Cloud Server v1.2.1 started === 
2026-04-15 17:53:18 | Info     | server.py:611             |  =========================================== 
2026-04-15 17:53:18 | Info     | server.py:565             | Scheduler: running maintenance
2026-04-15 17:53:18 | Info     | server.py:623             | Starting waitress server on http://127.0.0.1:8000
2026-04-15 17:53:18 | Debug    | server.py:529             | Purge: 2026040806_000 (hour 6 not in retention policy hours [0, 3])
2026-04-15 17:53:18 | Debug    | server.py:529             | Purge: 2026040809_000 (hour 9 not in retention policy hours [0, 3])
2026-04-15 17:53:18 | Debug    | server.py:529             | Purge: 2026040812_000 (hour 12 not in retention policy hours [0, 3])
2026-04-15 17:53:19 | Debug    | server.py:529             | Purge: 2026040815_000 (hour 15 not in retention policy hours [0, 3])
2026-04-15 17:53:19 | Debug    | server.py:529             | Purge: 2026040818_000 (hour 18 not in retention policy hours [0, 3])
2026-04-15 17:53:19 | Debug    | server.py:529             | Purge: 2026040821_000 (hour 21 not in retention policy hours [0, 3])
2026-04-15 17:53:19 | Debug    | server.py:529             | Purge: 2026040906_000 (hour 6 not in retention policy hours [0, 3])
2026-04-15 17:53:19 | Debug    | server.py:529             | Purge: 2026040909_000 (hour 9 not in retention policy hours [0, 3])
